tweet-sno-0	Q0	vclaim-sno-hero-wombats-australia-fires	1	3.64343453	rank_svm
tweet-sno-0	Q0	vclaim-sno-bees-gmo-cornfield	2	1.0819433	rank_svm
tweet-sno-0	Q0	vclaim-sno-floating-islands-of-fire-ants	3	1.05856218	rank_svm
tweet-sno-0	Q0	vclaim-sno-did-sprinklers-save-house-from-massive-wildfire	4	1.02971391	rank_svm
tweet-sno-0	Q0	vclaim-sno-fawn-bobcat-fire	5	1.02292883	rank_svm
tweet-sno-0	Q0	vclaim-sno-frozen-frogs	6	0.79619695	rank_svm
tweet-sno-0	Q0	vclaim-sno-rainbow-butterfly	7	0.28290547	rank_svm
tweet-sno-0	Q0	vclaim-sno-zoo-animals-escape-floyd-protests	8	0.22426536	rank_svm
tweet-sno-0	Q0	vclaim-sno-bumblebees-cant-fly	9	0.20638503	rank_svm
tweet-sno-0	Q0	vclaim-sno-rain-wildfire-toxic	10	0.1914907	rank_svm
tweet-sno-1	Q0	vclaim-sno-ilhan-omar-treason-advice-iran	1	4.61786325	rank_svm
tweet-sno-1	Q0	vclaim-sno-trump-obama-emoluments	2	1.83703843	rank_svm
tweet-sno-1	Q0	vclaim-sno-trumps-muslim-ban-exclude-countries-businesses	3	1.4876366	rank_svm
tweet-sno-1	Q0	vclaim-sno-trump-financial-interests-saudi-arabia	4	1.48540933	rank_svm
tweet-sno-1	Q0	vclaim-sno-david-brooks-trump-needs-to-decide-if-he-prefers-to-resign-be-impeached-or-get-assassinated	5	1.44321918	rank_svm
tweet-sno-1	Q0	vclaim-sno-kuwait-moves-event-four-seasons-trump-hotel	6	0.86461558	rank_svm
tweet-sno-1	Q0	vclaim-sno-trump-iran-tweets-obama	7	0.85451012	rank_svm
tweet-sno-1	Q0	vclaim-sno-trump-revoke-executive-order	8	0.66451982	rank_svm
tweet-sno-1	Q0	vclaim-sno-trump-voter-interference	9	0.51264384	rank_svm
tweet-sno-1	Q0	vclaim-sno-trumps-first-order-flag-burning	10	0.20556853	rank_svm
