iclaim_id	date_seconds
20161010_2pres_0851	1476046800.0
20170111_Trump_press_conference_0483	1484085600.0
20151028_GOP_boulder_0367	1445983200.0
20160907_NBC_commander_in_chief_forum_0439	1473195600.0
20170216_Trump_press_conference_0037	1487196000.0
20180615_Trump_lawn_0160	1529010000.0
20170120_Trump_inauguration_0032	1484863200.0
20170111_Trump_press_conference_0172	1484085600.0
20161005_vice_pres_0682	1475614800.0
20170919_Trump_UNGA_0103	1505768400.0
20180615_Trump_lawn_0163	1529010000.0
20161010_2pres_0821	1476046800.0
20160926_1pres_0179	1474837200.0
20161010_2pres_0208	1476046800.0
20161019_3pres_0139	1476824400.0
20170111_Trump_press_conference_0277	1484085600.0
20160721_Trump_draft_RNC_0205	1469048400.0
20180731_Trump_Tampa_0381	1532984400.0
20160401_Trump_Milwaukee_0653	1459458000.0
20160926_1pres_0711	1474837200.0
20160115_GOP_charlston_1579	1452808800.0
20151110_GOP_milwuakee_0888	1447106400.0
20170207_Sanders_Cruz_healthcare_debate_0687	1486418400.0
20170218_Trump_Florida_0379	1487368800.0
20170126_Trump_ABC_0420	1485381600.0
20160415_NY_democratic_debate_0433	1460667600.0
20170207_Sanders_Cruz_healthcare_debate_0484	1486418400.0
20190304_Trump_CPAC_0567	1551650400.0
20160926_1pres_0575	1474837200.0
20170919_Trump_UNGA_0042	1505768400.0
20160926_1pres_1326	1474837200.0
20160926_1pres_1059	1474837200.0
20161010_2pres_0112	1476046800.0
20170404_Trump_CEO_TownHall_0307	1491253200.0
20170228_Trump_Congress_joint_session_0088	1488232800.0
20170822_Trump_phoenix_0116	1503349200.0
20181015_60_min_0004	1539550800.0
20170228_Trump_Congress_joint_session_0086	1488232800.0
20170323_Trump_Times_Interview_0067	1490220000.0
20170404_Trump_CEO_TownHall_0287	1491253200.0
20180628_Trump_NorthDakota_0348	1530133200.0
20190912_democratic_debate_0910	1568235600.0
20170205_Trump_Oreilly_0141	1486245600.0
20181015_60_min_0402	1539550800.0
20170216_Trump_press_conference_0963	1487196000.0
20151013_democrats_las_vegas_0096	1444683600.0
20161010_2pres_0772	1476046800.0
20190730_democratic_debate_Detroit_1_1541	1564434000.0
20161019_3pres_0818	1476824400.0
20161005_vice_pres_1325	1475614800.0
20170207_Sanders_Cruz_healthcare_debate_0360	1486418400.0
20160311_GOP_miami_0149	1457647200.0
20161010_2pres_0346	1476046800.0
20190304_Trump_CPAC_1806	1551650400.0
20180426_Trump_Fox_Friends_0317	1524690000.0
20160622_Trump_NY_Soho_0131	1466542800.0
20170323_Trump_Times_Interview_0270	1490220000.0
20190304_Trump_CPAC_1578	1551650400.0
20180628_Trump_NorthDakota_0346	1530133200.0
20160415_NY_democratic_debate_1183	1460667600.0
20180821_Trump_Charleston_0036	1534798800.0
20170126_Trump_ABC_0103	1485381600.0
20161019_3pres_1277	1476824400.0
20121023_third_presidential_debate_0473	1350939600.0
20160721_Trump_draft_RNC_0149	1469048400.0
20160622_Trump_NY_Soho_0084	1466542800.0
20160303_GOP_michigan_0418	1456956000.0
20181112_trump_pelosi_0293	1541973600.0
20160926_1pres_1182	1474837200.0
20161010_2pres_0117	1476046800.0
20151028_GOP_boulder_0958	1445983200.0
20160112_Obama_state_of_the_union_0145	1452549600.0
20160721_Trump_draft_RNC_0187	1469048400.0
20161019_3pres_0074	1476824400.0
20170713_Trump_Roberston_interiew_0257	1499893200.0
20160117_democrats_charlston_0413	1452981600.0
20151013_democrats_las_vegas_0305	1444683600.0
20160622_Trump_NY_Soho_0183	1466542800.0
20160926_1pres_0493	1474837200.0
20160622_Trump_NY_Soho_0073	1466542800.0
20161005_vice_pres_1162	1475614800.0
20161010_2pres_0776	1476046800.0
20160213_GOP_greenville_1002	1455314400.0
20161005_vice_pres_0216	1475614800.0
20160415_NY_democratic_debate_0300	1460667600.0
20170216_Trump_press_conference_0469	1487196000.0
20151028_GOP_boulder_1435	1445983200.0
20161019_3pres_0765	1476824400.0
20151028_GOP_boulder_0115	1445983200.0
20190730_democratic_debate_Detroit_1_0471	1564434000.0
20170207_Sanders_Cruz_healthcare_debate_0265	1486418400.0
20160926_1pres_0166	1474837200.0
20160329_kasich_milwuakee_0259	1459198800.0
20160112_Obama_state_of_the_union_0071	1452549600.0
20170430_Trumo_CBS_FactTheNation_0511	1493499600.0
20160926_1pres_0579	1474837200.0
20170207_Sanders_Cruz_healthcare_debate_0041	1486418400.0
20160115_GOP_charlston_0047	1452808800.0
20161005_vice_pres_0968	1475614800.0
20160622_Trump_NY_Soho_0130	1466542800.0
20180821_Trump_Charleston_0320	1534798800.0
20161019_3pres_0695	1476824400.0
20160721_Trump_draft_RNC_0058	1469048400.0
20161010_2pres_0834	1476046800.0
20160622_Trump_NY_Soho_0086	1466542800.0
20160303_GOP_michigan_1158	1456956000.0
20180712_Trump_NATO_0067	1531342800.0
20161019_3pres_0609	1476824400.0
20160926_1pres_0748	1474837200.0
20160225_GOP_texas_1801	1456351200.0
20160926_1pres_0183	1474837200.0
20170218_Trump_Florida_0331	1487368800.0
20170228_Trump_Congress_joint_session_0353	1488232800.0
20190912_democratic_debate_0942	1568235600.0
20161005_vice_pres_0965	1475614800.0
20161010_2pres_0165	1476046800.0
20151028_GOP_boulder_0950	1445983200.0
20190912_democratic_debate_0460	1568235600.0
20170126_Trump_ABC_0679	1485381600.0
20121023_third_presidential_debate_0459	1350939600.0
20151110_GOP_milwuakee_0875	1447106400.0
20160115_GOP_charlston_1616	1452808800.0
20160115_GOP_charlston_0048	1452808800.0
20170111_Trump_press_conference_0287	1484085600.0
20160926_1pres_0175	1474837200.0
20181015_60_min_0086	1539550800.0
20190730_democratic_debate_Detroit_1_0473	1564434000.0
20160117_democrats_charlston_0995	1452981600.0
20151013_democrats_las_vegas_1475	1444683600.0
20161010_2pres_0525	1476046800.0
20161010_2pres_1036	1476046800.0
20161010_2pres_0037	1476046800.0
20170822_Trump_phoenix_0604	1503349200.0
20160622_Trump_NY_Soho_0115	1466542800.0
20190730_democratic_debate_Detroit_1_0472	1564434000.0
20160926_1pres_0819	1474837200.0
20161019_3pres_0255	1476824400.0
20161010_2pres_0982	1476046800.0
20151028_GOP_boulder_0923	1445983200.0
20170111_Trump_press_conference_0450	1484085600.0
20170424_Trump_AP_interview_0387	1492981200.0
20161019_3pres_1133	1476824400.0
20161019_3pres_0228	1476824400.0
20170126_Trump_ABC_0178	1485381600.0
20161010_2pres_0840	1476046800.0
20180821_Trump_Charleston_0314	1534798800.0
20161010_2pres_0605	1476046800.0
20161005_vice_pres_0437	1475614800.0
20160225_GOP_texas_0120	1456351200.0
20160112_Obama_state_of_the_union_0072	1452549600.0
20160926_1pres_0265	1474837200.0
20160529_Sanders_MeetThePress_0184	1464469200.0
20181015_60_min_0401	1539550800.0
20170111_Trump_press_conference_0203	1484085600.0
20170216_Trump_press_conference_0277	1487196000.0
20161019_3pres_0751	1476824400.0
20170218_Trump_Florida_0156	1487368800.0
20170315_Trump_Nashville_0296	1489528800.0
20170216_Trump_press_conference_0177	1487196000.0
20180504_Trumo_NRA_0381	1525381200.0
20160901_Trump_immigration_Phoenix_0048	1472677200.0
20161005_vice_pres_0097	1475614800.0
20160401_Trump_Milwaukee_0812	1459458000.0
20160115_GOP_charlston_0049	1452808800.0
20161005_vice_pres_1259	1475614800.0
20160907_NBC_commander_in_chief_forum_0564	1473195600.0
20160926_1pres_1057	1474837200.0
20170205_Trump_Oreilly_0354	1486245600.0
20190730_democratic_debate_Detroit_1_1543	1564434000.0
20121023_third_presidential_debate_0609	1350939600.0
20170228_Trump_Congress_joint_session_0077	1488232800.0
20161019_3pres_0877	1476824400.0
20181015_60_min_0005	1539550800.0
20121023_third_presidential_debate_0959	1350939600.0
20170404_Trump_CEO_TownHall_0103	1491253200.0
20170111_Trump_press_conference_0259	1484085600.0
20170224_Tump_CPAC_0261	1487887200.0
20170216_Trump_press_conference_0036	1487196000.0
20190912_democratic_debate_0461	1568235600.0
20180615_Trump_lawn_0442	1529010000.0
20180821_Trump_Charleston_0340	1534798800.0
20160303_GOP_michigan_0574	1456956000.0
20160115_GOP_charlston_0138	1452808800.0
20170323_Trump_Times_Interview_0022	1490220000.0
20181015_60_min_0264	1539550800.0
20170404_Trump_CEO_TownHall_0305	1491253200.0
20170822_Trump_phoenix_0204	1503349200.0
20180426_Trump_Fox_Friends_0554	1524690000.0
20190912_democratic_debate_0462	1568235600.0
20161005_vice_pres_0117	1475614800.0
20160901_Trump_immigration_Phoenix_0043	1472677200.0
20160401_Trump_Milwaukee_0052	1459458000.0
20160926_1pres_0252	1474837200.0
20170228_Trump_Congress_joint_session_0047	1488232800.0
20161005_vice_pres_0694	1475614800.0
20170424_Trump_AP_interview_0412	1492981200.0
20180426_Trump_Fox_Friends_0544	1524690000.0
20170713_Trump_Roberston_interiew_0313	1499893200.0
20161010_2pres_0370	1476046800.0
20161019_3pres_0867	1476824400.0
20161010_2pres_0130	1476046800.0
20161019_3pres_0832	1476824400.0
20160926_1pres_1010	1474837200.0
20160622_Trump_NY_Soho_0179	1466542800.0
20181015_60_min_0209	1539550800.0
20160309_democrats_miami_0784	1457474400.0
20161010_2pres_0190	1476046800.0
20160926_1pres_1079	1474837200.0
20170207_Sanders_Cruz_healthcare_debate_0123	1486418400.0
20161019_3pres_0468	1476824400.0
20160721_Trump_draft_RNC_0160	1469048400.0
20170126_Trump_ABC_0133	1485381600.0
20170111_Trump_press_conference_0387	1484085600.0
20180504_Trumo_NRA_0132	1525381200.0
20160907_NBC_commander_in_chief_forum_0165	1473195600.0
20180426_Trump_Fox_Friends_0036	1524690000.0
20160926_1pres_0927	1474837200.0
20181102_Trump_Huntington_0494	1541109600.0
20160115_GOP_charlston_0197	1452808800.0
20161010_2pres_1069	1476046800.0
20160213_GOP_greenville_0210	1455314400.0
20160112_Obama_state_of_the_union_0076	1452549600.0
20170111_Trump_press_conference_0041	1484085600.0
20180504_Trumo_NRA_0133	1525381200.0
20180712_Trump_NATO_0648	1531342800.0
20160721_Trump_draft_RNC_0020	1469048400.0
20170713_Trump_Roberston_interiew_0079	1499893200.0
20161005_vice_pres_0639	1475614800.0
20190304_Trump_CPAC_1521	1551650400.0
20160622_Trump_NY_Soho_0114	1466542800.0
20170111_Trump_press_conference_0388	1484085600.0
20190730_democratic_debate_Detroit_1_0521	1564434000.0
20160309_democrats_miami_0245	1457474400.0
20160901_Trump_immigration_Phoenix_0061	1472677200.0
20170430_Trumo_CBS_FactTheNation_0007	1493499600.0
20121023_third_presidential_debate_0753	1350939600.0
20161010_2pres_1035	1476046800.0
20180712_Trump_NATO_0647	1531342800.0
20181102_Trump_Huntington_0148	1541109600.0
20170404_Trump_CEO_TownHall_0304	1491253200.0
20170205_Trump_Oreilly_0360	1486245600.0
20160225_GOP_texas_0964	1456351200.0
20190619_Trump_Campain_Florida_0163	1560891600.0
20181102_Trump_Huntington_0665	1541109600.0
20160225_GOP_texas_0121	1456351200.0
20161010_2pres_0500	1476046800.0
20160622_Trump_NY_Soho_0085	1466542800.0
20170120_Trump_inauguration_0042	1484863200.0
20160415_NY_democratic_debate_1295	1460667600.0
20160303_GOP_michigan_0575	1456956000.0
20161019_3pres_0423	1476824400.0
20170205_Trump_Oreilly_0186	1486245600.0
20181102_Trump_Huntington_0160	1541109600.0
20180504_Trumo_NRA_0378	1525381200.0
20161019_3pres_0607	1476824400.0
20170120_Trump_inauguration_0033	1484863200.0
20170822_Trump_phoenix_0509	1503349200.0
20121023_third_presidential_debate_0985	1350939600.0
